symbol,starttime,start_LTP,endtime,end_LTP,change_pct,start_buySellRatio,end_buySellRatio,bidAskSpread_start,bidAskSpread_end
NSE:FUSION-EQ,2025-09-25 11:39:57.127264,195.00,2025-09-25 12:09:04.506395,193.40,0.667,0.3799,0.2830,0.2300,0.3700
NSE:FUSION-EQ,2025-09-25 13:55:03.622373,194.24,2025-09-25 14:24:58.862510,192.56,0.824,0.2747,0.1686,0.2300,0.2700
NSE:FUSION-EQ,2025-09-25 14:25:00.544868,192.50,2025-09-25 14:40:15.405160,194.04,0.760,0.1586,0.2060,0.3100,0.2800
NSE:FUSION-EQ,2025-09-25 14:40:17.750470,194.29,2025-09-25 14:51:42.957280,192.79,0.672,0.2055,0.1710,0.2800,0.2500
NSE:GABRIEL-EQ,2025-09-25 09:32:02.066140,1272.20,2025-09-25 09:37:03.716951,1262.10,0.845,0.8532,0.7214,1.0000,0.9000
NSE:GABRIEL-EQ,2025-09-25 09:37:04.157117,1262.10,2025-09-25 09:58:47.154345,1269.90,0.666,0.7125,1.0160,0.9000,0.1000
NSE:GABRIEL-EQ,2025-09-25 11:21:03.287510,1271.20,2025-09-25 11:51:00.553227,1263.20,0.669,0.9884,0.8638,0.7000,0.7000
NSE:GABRIEL-EQ,2025-09-25 11:51:02.600028,1263.20,2025-09-25 12:05:45.177253,1252.80,0.772,0.8636,0.6912,0.8000,0.7000
NSE:GABRIEL-EQ,2025-09-25 12:32:06.599931,1251.30,2025-09-25 12:48:56.662190,1259.80,0.671,0.8592,0.9760,0.2000,0.8000
NSE:GABRIEL-EQ,2025-09-25 12:48:59.397184,1260.00,2025-09-25 13:06:52.854891,1250.40,0.746,0.9748,0.7801,0.7000,0.3000
NSE:GABRIEL-EQ,2025-09-25 14:29:59.096764,1252.20,2025-09-25 14:59:53.630172,1244.70,0.662,0.7985,0.6879,0.3000,0.3000
NSE:GABRIEL-EQ,2025-09-25 14:59:55.650955,1244.70,2025-09-25 15:01:25.929099,1253.30,0.711,0.6879,0.7697,0.3000,1.4000
NSE:GABRIEL-EQ,2025-09-25 15:01:27.242411,1251.40,2025-09-25 15:04:17.604716,1263.20,0.814,0.7697,0.9363,1.4000,0.8000
NSE:GABRIEL-EQ,2025-09-25 15:04:17.964100,1263.20,2025-09-25 15:07:37.269748,1255.20,0.669,0.9373,0.6741,0.8000,0.1000
